facility_id,mortality_measure_count,safety_measure_count,readmission_measure_count,patient_exp_measure_count,timely_effective_measure_count
050121,8,8,11,15,10
050122,8,8,11,15,10
050124,8,8,11,15,10
050125,8,8,11,15,10
050126,8,8,11,15,10
050127,8,8,11,15,10
050128,8,8,11,15,10
050129,8,8,11,15,10
050131,8,8,11,15,10
050132,8,8,11,15,10
050133,8,8,11,15,10
050135,8,8,11,15,10
050136,8,8,11,15,10
050137,8,8,11,15,10
050138,8,8,11,15,10
050139,8,8,11,15,10
050140,8,8,11,15,10
050145,8,8,11,15,10
050149,8,8,11,15,10
050150,8,8,11,15,10
050152,8,8,11,15,10
050158,8,8,11,15,10
050159,8,8,11,15,10
05015F,,,,,
050167,8,8,11,15,10
050168,8,8,11,15,10
050169,8,8,11,15,10
050174,8,8,11,15,10
050179,8,8,11,15,10
050180,8,8,11,15,10
050191,8,8,11,15,10
050192,8,8,11,15,10
050194,8,8,11,15,10
050195,8,8,11,15,10
050197,8,8,11,15,10
050204,8,8,11,15,10
05020F,,,,,
050211,8,8,11,15,10
050222,8,8,11,15,10
050224,8,8,11,15,10
050226,8,8,11,15,10
050228,8,8,11,15,10
05022F,,,,,
050230,8,8,11,15,10
050231,8,8,11,15,10
050232,8,8,11,15,10
050234,8,8,11,15,10
050235,8,8,11,15,10
050236,8,8,11,15,10
050238,8,8,11,15,10
050239,8,8,11,15,10
050242,8,8,11,15,10
050243,8,8,11,15,10
050245,8,8,11,15,10
050248,8,8,11,15,10
050254,8,8,11,15,10
050257,8,8,11,15,10
05025F,8,8,11,15,10
050261,8,8,11,15,10
050262,8,8,11,15,10
050272,8,8,11,15,10
050276,8,8,11,15,10
050278,8,8,11,15,10
050279,8,8,11,15,10
05027F,8,8,11,15,10
050280,8,8,11,15,10
050281,8,8,11,15,10
050283,8,8,11,15,10
050289,8,8,11,15,10
050290,8,8,11,15,10
050291,8,8,11,15,10
050292,8,8,11,15,10
050295,8,8,11,15,10
050298,8,8,11,15,10
050300,8,8,11,15,10
050301,8,8,11,15,10
050305,8,8,11,15,10
050308,8,8,11,15,10
050309,8,8,11,15,10
05030F,8,8,11,15,10
050313,8,8,11,15,10
050315,8,8,11,15,10
05031F,8,8,11,15,10
050320,8,8,11,15,10
050324,8,8,11,15,10
050327,8,8,11,15,10
050329,8,8,11,15,10
050334,8,8,11,15,10
050335,8,8,11,15,10
050336,8,8,11,15,10
050342,8,8,11,15,10
050348,8,8,11,15,10
050350,8,8,11,15,10
050351,8,8,11,15,10
050352,8,8,11,15,10
050353,8,8,11,15,10
050357,8,8,11,15,10
050360,8,8,11,15,10
050367,8,8,11,15,10
050373,8,8,11,15,10
050376,8,8,11,15,10
050378,8,8,11,15,10
050380,8,8,11,15,10
050382,8,8,11,15,10
050390,8,8,11,15,10
050393,8,8,11,15,10
050394,8,8,11,15,10
050396,8,8,11,15,10
05039F,,,,,
050407,8,8,11,15,10
050411,8,8,11,15,10
050414,8,8,11,15,10
050417,8,8,11,15,10
05041F,,,,,
050424,8,8,11,15,10
050425,8,8,11,15,10
050426,8,8,11,15,10
050438,8,8,11,15,10
050441,8,8,11,15,10
050444,8,8,11,15,10
050454,8,8,11,15,10
050455,8,8,11,15,10
050457,8,8,11,15,10
050464,8,8,11,15,10
050468,8,8,11,15,10
050471,8,8,11,15,10
050481,8,8,11,15,10
050485,8,8,11,15,10
050488,8,8,11,15,10
050492,8,8,11,15,10
050496,8,8,11,15,10
050498,8,8,11,15,10
050503,8,8,11,15,10
050506,8,8,11,15,10
050510,8,8,11,15,10
050512,8,8,11,15,10
050515,8,8,11,15,10
050516,8,8,11,15,10
050517,8,8,11,15,10
050523,8,8,11,15,10
050526,8,8,11,15,10
050528,8,8,11,15,10
050534,8,8,11,15,10
050537,8,8,11,15,10
050541,8,8,11,15,10
050543,8,8,11,15,10
050546,,,,,
050549,8,8,11,15,10
050551,8,8,11,15,10
050557,8,8,11,15,10
050561,8,8,11,15,10
050567,8,8,11,15,10
050570,8,8,11,15,10
050573,8,8,11,15,10
050580,8,8,11,15,10
050581,8,8,11,15,10
050586,8,8,11,15,10
050588,8,8,11,15,10
050590,8,8,11,15,10
050597,8,8,11,15,10
050599,8,8,11,15,10
050603,8,8,11,15,10
050604,8,8,11,15,10
050608,8,8,11,15,10
050609,8,8,11,15,10
050624,8,8,11,15,10
050625,8,8,11,15,10
050633,8,8,11,15,10
050636,8,8,11,15,10
050641,8,8,11,15,10
050663,8,8,11,15,10
050668,8,8,11,15,10
050674,8,8,11,15,10
050677,8,8,11,15,10
050678,8,8,11,15,10
050684,8,8,11,15,10
050686,8,8,11,15,10
050689,8,8,11,15,10
050690,8,8,11,15,10
050696,8,8,11,15,10
050697,8,8,11,15,10
050701,8,8,11,15,10
050704,8,8,11,15,10
050708,8,8,11,15,10
050709,8,8,11,15,10
050710,8,8,11,15,10
050714,8,8,11,15,10
050717,8,8,11,15,10
050723,8,8,11,15,10
050726,8,8,11,15,10
050735,8,8,11,15,10
050736,8,8,11,15,10
050737,8,8,11,15,10
050738,8,8,11,15,10
050739,8,8,11,15,10
050740,8,8,11,15,10
050744,8,8,11,15,10
050745,8,8,11,15,10
050746,8,8,11,15,10
050747,8,8,11,15,10
050748,8,8,11,15,10
050755,8,8,11,15,10
050758,8,8,11,15,10
050760,8,8,11,15,10
050761,8,8,11,15,10
050763,8,8,11,15,10
050764,8,8,11,15,10
050765,8,8,11,15,10
050766,8,8,11,15,10
050767,8,8,11,15,10
050769,8,8,11,15,10
050770,8,8,11,15,10
050771,8,8,11,15,10
050772,8,8,11,15,10
050775,8,8,11,15,10
050776,8,8,11,15,10
050777,8,8,11,15,10
050778,8,8,11,15,10
050779,8,8,11,15,10
050780,8,8,11,15,10
050782,8,8,11,15,10
050783,8,8,11,15,10
050784,8,8,11,15,10
050785,8,8,11,15,10
050854,8,8,11,15,10
050855,8,8,11,15,10
050856,,,,,
05114F,8,8,11,15,10
05127F,8,8,11,15,10
05128F,8,8,11,15,10
051300,8,8,11,15,10
051301,8,8,11,15,10
051302,8,8,11,15,10
051303,8,8,11,15,10
051304,8,8,11,15,10
051305,8,8,11,15,10
051306,8,8,11,15,10
051307,8,8,11,15,10
051308,8,8,11,15,10
051309,8,8,11,15,10
05130F,8,8,11,15,10
051310,8,8,11,15,10
051311,8,8,11,15,10
051312,8,8,11,15,10
051314,8,8,11,15,10
051315,8,8,11,15,10
051316,8,8,11,15,10
051317,8,8,11,15,10
051318,8,8,11,15,10
051319,8,8,11,15,10
051320,8,8,11,15,10
051321,8,8,11,15,10
051323,8,8,11,15,10
051324,8,8,11,15,10
051325,8,8,11,15,10
051326,8,8,11,15,10
051327,8,8,11,15,10
051328,8,8,11,15,10
051329,8,8,11,15,10
051330,8,8,11,15,10
051331,8,8,11,15,10
051332,8,8,11,15,10
051333,8,8,11,15,10
051334,8,8,11,15,10
051335,8,8,11,15,10
051336,8,8,11,15,10
051337,8,8,11,15,10
051338,,,,,
051339,8,8,11,15,10
053300,,,,,
053301,,,,,
053302,,,,,
053303,,,,,
053304,,,,,
053305,,,,,
053306,,,,,
053308,,,,,
053309,,,,,
053311,,,,,
054009,,,,,
054028,,,,,
054032,,,,,
054053,,,,,
054055,,,,,
054069,,,,,
054074,,,,,
054075,,,,,
054077,,,,,
054078,,,,,
054087,,,,,
054089,,,,,
054095,,,,,
054096,,,,,
054104,,,,,
054110,,,,,
054111,,,,,
054122,,,,,
054123,,,,,
054124,,,,,
054125,,,,,
054130,,,,,
054131,,,,,
054133,,,,,
054144,,,,,
054145,,,,,
054146,,,,,
054147,,,,,
054148,,,,,
054149,,,,,
054150,,,,,
054151,,,,,
054152,,,,,
054153,,,,,
054154,,,,,
054155,,,,,
054157,,,,,
054158,,,,,
054159,,,,,
054160,,,,,
060001,8,8,11,15,10
060003,8,8,11,15,10
060004,8,8,11,15,10
060006,8,8,11,15,10
060008,8,8,11,15,10
060009,8,8,11,15,10
060010,8,8,11,15,10
060011,8,8,11,15,10
060012,8,8,11,15,10
060013,8,8,11,15,10
060014,8,8,11,15,10
060015,8,8,11,15,10
060020,8,8,11,15,10
060022,8,8,11,15,10
060023,8,8,11,15,10
060024,8,8,11,15,10
060027,8,8,11,15,10
060028,8,8,11,15,10
060030,8,8,11,15,10
060031,8,8,11,15,10
060032,8,8,11,15,10
060034,8,8,11,15,10
06003F,,,,,
060044,8,8,11,15,10
060049,8,8,11,15,10
060054,8,8,11,15,10
06005F,8,8,11,15,10
060064,8,8,11,15,10
060065,8,8,11,15,10
060071,8,8,11,15,10
060075,8,8,11,15,10
060076,8,8,11,15,10
06007F,8,8,11,15,10
060096,8,8,11,15,10
060100,8,8,11,15,10
060103,8,8,11,15,10
060104,8,8,11,15,10
060107,8,8,11,15,10
060112,8,8,11,15,10
060113,8,8,11,15,10
060114,8,8,11,15,10
060116,8,8,11,15,10
060117,8,8,11,15,10
060118,8,8,11,15,10
060119,8,8,11,15,10
060124,8,8,11,15,10
060125,8,8,11,15,10
060126,8,8,11,15,10
060128,8,8,11,15,10
060129,8,8,11,15,10
060130,8,8,11,15,10
060131,8,8,11,15,10
060132,8,8,11,15,10
060133,8,8,11,15,10
061300,8,8,11,15,10
061301,8,8,11,15,10
061302,8,8,11,15,10
061303,8,8,11,15,10
061304,8,8,11,15,10
061305,8,8,11,15,10
061306,8,8,11,15,10
061307,8,8,11,15,10
061308,8,8,11,15,10
061309,8,8,11,15,10
061310,8,8,11,15,10
061311,8,8,11,15,10
061312,8,8,11,15,10
061313,8,8,11,15,10
061314,8,8,11,15,10
061315,8,8,11,15,10
061316,8,8,11,15,10
061317,8,8,11,15,10
061318,8,8,11,15,10
061319,8,8,11,15,10
061320,8,8,11,15,10
061321,8,8,11,15,10
061322,8,8,11,15,10
061323,8,8,11,15,10
061324,8,8,11,15,10
061325,8,8,11,15,10
061326,8,8,11,15,10
061327,8,8,11,15,10
061328,8,8,11,15,10
061336,8,8,11,15,10
061343,8,8,11,15,10
061344,8,8,11,15,10
063301,,,,,
063303,,,,,
064001,,,,,
064003,,,,,
064007,,,,,
064009,,,,,
064024,,,,,
064026,,,,,
064028,,,,,
064029,,,,,
064030,,,,,
070002,8,8,11,15,10
070003,8,8,11,15,10
070004,8,8,11,15,10
070005,8,8,11,15,10
070006,8,8,11,15,10
070007,8,8,11,15,10
070008,8,8,11,15,10
070010,8,8,11,15,10
070011,8,8,11,15,10
070016,8,8,11,15,10
070017,8,8,11,15,10
070018,8,8,11,15,10
070020,8,8,11,15,10
070021,8,8,11,15,10
070022,8,8,11,15,10
070024,8,8,11,15,10
070025,8,8,11,15,10
070027,8,8,11,15,10
070028,8,8,11,15,10
070029,8,8,11,15,10
070031,8,8,11,15,10
070033,8,8,11,15,10
070034,8,8,11,15,10
070035,8,8,11,15,10
070036,8,8,11,15,10
070038,8,8,11,15,10
07003F,8,8,11,15,10
073300,,,,,
074003,,,,,
074008,,,,,
074011,,,,,
074012,,,,,
074014,,,,,
074015,,,,,
074016,,,,,
074017,,,,,
080001,8,8,11,15,10
080003,8,8,11,15,10
080004,8,8,11,15,10
080006,8,8,11,15,10
080007,8,8,11,15,10
080009,8,8,11,15,10
08002F,8,8,11,15,10
083300,,,,,
084001,,,,,
084002,,,,,
084003,,,,,
084004,,,,,
084005,,,,,
090001,8,8,11,15,10
090003,8,8,11,15,10
090004,8,8,11,15,10
090005,8,8,11,15,10
090008,8,8,11,15,10
090011,8,8,11,15,10
09002F,8,8,11,15,10
093300,,,,,
094001,,,,,
094004,,,,,
100001,8,8,11,15,10
100002,8,8,11,15,10
100006,8,8,11,15,10
100007,8,8,11,15,10
100008,8,8,11,15,10
100012,8,8,11,15,10
100014,8,8,11,15,10
100017,8,8,11,15,10
100018,8,8,11,15,10
100019,8,8,11,15,10
100022,8,8,11,15,10
100023,8,8,11,15,10
100025,8,8,11,15,10
100026,8,8,11,15,10
100028,8,8,11,15,10
100029,8,8,11,15,10
100030,8,8,11,15,10
100032,8,8,11,15,10
100034,8,8,11,15,10
100035,8,8,11,15,10
100038,8,8,11,15,10
100039,8,8,11,15,10
100040,8,8,11,15,10
100043,8,8,11,15,10
100044,8,8,11,15,10
100045,8,8,11,15,10
100046,8,8,11,15,10
